question_code,statement,answer_1,answer_2,answer_3,answer_4,correct_answers
Q1,Qual è la capitale d'Italia?,Roma,Milano,Napoli,Torino,"[1]"
Q2,Quali di questi compositori rientrano nel Romanticismo musicale Italiano?,Giuseppe Verdi,Vincenzo Bellini,Claudio Monteverdi,Alessandro Scarlatti,"[1,2]"
Q3,Quali dei seguenti pianeti hanno un diametro minore rispetto alla Terra?,Nettuno,Saturno,Giove,Urano,"[]"
Q4,In che anno è caduto il Muro di Berlino?,1987,1988,1989,1990,"[3]"
Q5,Qual è l'elemento chimico con simbolo O?,Oro,Ossigeno,Osmio,Olio,"[2]"
Q6,Quali dei seguenti eventi fanno parte della Seconda Guerra Mondiale?,Ritirata di Caporetto,Attacco giapponese a Pearl Harbor,Battaglia dello Jutland,Battaglia di Stalingrado,"[2,4]"
Q7,Chi ha scritto 'La Divina Commedia'?,Dante Alighieri,Petrarca,Boccaccio,Manzoni,"[1]"
Q8,Quali di questi fiumi passano per l'Europa?,Danubio,Reno,Azzurro,Nilo,"[1,2]"
Q9,Chi tra queste nuotatrici ha detenuto il record del mondo nei 200 sl?,Mollie O'Callaghan,Laure Manadou,Federica Pellegrini,Rebecca Adlington,"[1,2,3]"
Q10,Qual è la montagna più alta del mondo?,K2,Monte Bianco,Everest,Kilimanjaro,"[3]"
Q11,Quali tra i seguenti regni di organismi è composto da esseri eterotrofi?,Regno dei Funghi,Regno vegetale,Regno dei Protisti,Regno animale,"[1,3,4]"
Q12,Qual è la formula chimica dell'acqua?,H2O,CO2,NaCl,O2,"[1]"
Q13,Da quale lingua italo-romanza è derivata la lingua italiana?,Veneto,Napoletano,Fiorentino,Siciliano,"[3]"
Q14,Chi ha dipinto la Gioconda?,Picasso,Leonardo da Vinci,Michelangelo,Raffaello,"[2]"
Q15,Qual è l'oceano più grande?,Atlantico,Indiano,Pacifico,Artico,"[3]"
Q16,Quanti di questi strumenti a fiato sono ottoni?,Flauto traverso,Trombone,Clarinetto,Corno,"[2,3,4]"
Q17,Qual è la velocità della luce?,300.000 km/s,150.000 km/s,450.000 km/s,600.000 km/s,"[1]"
Q18,In quale città si trova la Torre Pendente?,Roma,Firenze,Pisa,Venezia,"[3]"
Q19,Quanti sono i segni zodiacali?,10,11,12,13,"[3]"
Q20,Qual è il gas più abbondante nell'atmosfera terrestre?,Ossigeno,Azoto,Anidride carbonica,Argon,"[2]"
Q21,Quali di queste lingue sono slave?,Russo,Slovacco,Ceco,Polacco,"[1,2,3,4]"
Q22,Qual è la lingua più parlata al mondo?,Inglese,Cinese mandarino,Spagnolo,Hindi,"[2]"
Q23,Quanti sono i pianeti del sistema solare?,7,8,9,10,"[2]"
Q24,Quali di queste parti del corpo umano sono organi?,Fegato,Polmoni,Cervello,Tessuto Nervoso,"[1,2,3]"
Q25,Qual è la capitale della Francia?,Lione,Marsiglia,Parigi,Nizza,"[3]"
Q26,Quanti sono i lati di un triangolo?,2,3,4,5,"[2]"
Q27,Qual è l'animale più veloce del mondo?,Leopardo,Ghepardo,Leone,Tigre,"[2]"
Q28,Quanti sono i sensi umani?,4,5,6,7,"[2]"
Q29,Qual è il metallo più prezioso?,Oro,Argento,Platino,Rame,"[3]"
Q30,Quali dei seguenti semi sono presenti nelle carte da gioco italiane di tipo spagnolo?,Picche,Spade,Bastoni,Cuori,"[2,3]"
Q31,Quali dei seguenti linguaggi sono interpretati?,Python,Java,C,C++,"[1,2]"
Q32,Quale di queste sono fasi del ciclo di esecuzione di un'istruzione d aparte di un processore?,Fetch,Execute,Push,Decode,"[1,2,4]"
Q33,Quali di questi Large Language Models sono autoregressivi?,GPT-4,T5,Llama,BERT,"[1,3]"
Q34,Quali di questi sono framework per il deep learning?,Bootstrap,Django,Pytorch,TensorFlow,"[3, 4]"
Q35,"Chi tra questi è autore del testo del famoso brano ""Se telefonando"", intepretato dalla cantante Mina?",Mogol,Ennio Morricone,Ghigo De Chiara,Maurizio Costanzo,"[3, 4]"
