username,videgame_code,rating
GamerPro42,1,3.7
RetroGamer,1,2.9
VideoGameFan,1,4.1
CasualPlayer,1,1.8
HardcoreGamer,2,4.6
ActionFan,2,3.5
PlayStation_Lover,2,4.9
GamerGirl2023,2,2.3
RPGMaster,4,4.8
FantasyFan,4,3.2
OpenWorldLover,4,2.7
QuestSeeker,4,1.9
BuildMaster,6,3.6
CreativeGamer,6,4.3
MinecraftPro,6,2.5
BlockBuilder,6,3.8
CraftyPlayer,6,4.7
RockstarFan,7,2.1
GTAPlayer,7,1.7
CriminalMind,7,3.4
NintendoFan,8,4.5
PlatformerKing,8,3.9
MarioLover,8,4.2
SoulsPlayer,9,4.9
ChallengeFan,9,2.8
DarkSoulsVet,9,3.3
EldenLord,9,5.0
FromSoftFan,9,2.6
SciFiGamer,10,2.7
RobotHunter,10,1.5
HorizonFan,10,3.9
FPSPro,11,1.2
CallOfDutyFan,11,1.0
ShooterKing,11,1.8
SoccerFan,12,1.1
FIFAPlayer,12,1.6
SportGamer,12,1.0
VikingWarrior,13,2.0
AssassinFan,13,2.4
UbisoftPlayer,13,1.9
SpiderFan,14,3.1
MarvelGamer,14,3.7
WebSlinger,14,2.9
SamuraiBlade,15,4.2
JapanLover,15,3.6
GhostWarrior,15,4.5
HaloVeteran,16,1.3
XboxGamer,16,1.1
MasterChief,16,1.7
RacingPro,17,3.5
ForzaFan,17,4.8
SpeedDemon,17,3.2
The Fighter,1,4.0
AshKetchum,21,4.8
robbyjunior,16,5
